=== フィルタリング結果 ===
フィルター基準: エンゲージ最小スコア 2.9
======================

AKKODiSコンサルティング株式会社, OpenWork点数 3.05, エンゲージ点数 3.2
ALH株式会社, OpenWork点数 3.48, エンゲージ点数 3.2
CLINKS株式会社, OpenWork点数 2.91, エンゲージ点数 3.0
Evand株式会社, OpenWork点数 2.91, エンゲージ点数 3.5
FFGコンピューターサービス株式会社, OpenWork点数 3.12, エンゲージ点数 3.4
GMOインターネットグループ株式会社, OpenWork点数 3.18, エンゲージ点数 3.5
INTLOOP株式会社, OpenWork点数 3.41, エンゲージ点数 3.3
LINEヤフーコミュニケーションズ株式会社, OpenWork点数 3.16, エンゲージ点数 3.6
PayPayカード株式会社, OpenWork点数 3.09, エンゲージ点数 3.4
Sansan株式会社, OpenWork点数 4.08, エンゲージ点数 3.6
UPWARD株式会社, OpenWork点数 2.91, エンゲージ点数 3.3
coconev株式会社, OpenWork点数 3.26, エンゲージ点数 3.4
アイレット株式会社, OpenWork点数 3.43, エンゲージ点数 3.8
アジアクエスト株式会社, OpenWork点数 3.55, エンゲージ点数 3.6
アソビュー株式会社, OpenWork点数 3.19, エンゲージ点数 3.7
アドソル日進株式会社, OpenWork点数 3.18, エンゲージ点数 3.3
イデア・コンサルティング株式会社, OpenWork点数 2.91, エンゲージ点数 3.2
エフアンドエムネット株式会社, OpenWork点数 3.1, エンゲージ点数 3.9
オイシックス・ラ・大地株式会社, OpenWork点数 3.39, エンゲージ点数 3.6
キヤノン電子テクノロジー株式会社, OpenWork点数 3.01, エンゲージ点数 3.1
クラスメソッド株式会社, OpenWork点数 3.7, エンゲージ点数 3.7
サークレイス株式会社, OpenWork点数 3.05, エンゲージ点数 3.8
セーフィー株式会社, OpenWork点数 3.49, エンゲージ点数 3.3
ソリューション・ラボ・ジャパン株式会社, OpenWork点数 2.9, エンゲージ点数 3.1
ディーコム株式会社, OpenWork点数 2.99, エンゲージ点数 3.3
トライアロー株式会社, OpenWork点数 3.06, エンゲージ点数 3.2
バレットグループ株式会社, OpenWork点数 3.56, エンゲージ点数 3.3
パナソニックシステムデザイン株式会社, OpenWork点数 3.24, エンゲージ点数 3.4
パーソルエクセルHRパートナーズ株式会社, OpenWork点数 2.92, エンゲージ点数 3.2
パーソルクロステクノロジー株式会社, OpenWork点数 3.1, エンゲージ点数 3.2
パーソルビジネスプロセスデザイン株式会社, OpenWork点数 3.47, エンゲージ点数 3.4
フェンリル株式会社, OpenWork点数 3.19, エンゲージ点数 3.4
フォワードソフト株式会社, OpenWork点数 3.31, エンゲージ点数 3.4
マツダ株式会社, OpenWork点数 3.24, エンゲージ点数 3.3
ランスタッド株式会社, OpenWork点数 3.17, エンゲージ点数 3.3
中央システム株式会社, OpenWork点数 3.43, エンゲージ点数 3.2
弥生株式会社, OpenWork点数 2.99, エンゲージ点数 3.2
株式会社DYMキャリア, OpenWork点数 2.93, エンゲージ点数 3.3
株式会社EMD, OpenWork点数 3.05, エンゲージ点数 3.3
株式会社LASSIC, OpenWork点数 3.47, エンゲージ点数 3.3
株式会社Live2D, OpenWork点数 2.95, エンゲージ点数 3.7
株式会社TOMIYOJOB, OpenWork点数 2.99, エンゲージ点数 3.3
株式会社Wiz, OpenWork点数 3.33, エンゲージ点数 3.4
株式会社ZOZO, OpenWork点数 3.7, エンゲージ点数 3.8
株式会社mediba, OpenWork点数 3.41, エンゲージ点数 3.4
